gender,age,married,dependents,number_of_dependents,city,latitude,longitude,population,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,churn_label,ibm_spss_churn_prob,cltv,churn_category,churn_reason,new_customer
0,70,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,54,Offer B,1,12.08,1,1,DSL,5,1,1,0,1,1,1,1,1,One Year,0,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,1,83,4149,Competitor,Competitor made better offer,0
0,74,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,2,Offer E,1,13.17,0,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,1,73,2671,Other,Don't know,0
0,77,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,21,,0,0.0,0,1,Cable,8,1,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,1,90,4778,Competitor,Competitor made better offer,0
1,71,1,0,0,San Diego,32.85723,-117.209774,34902,0,0,27,,0,0.0,0,1,Cable,13,1,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,1,91,2927,Competitor,Competitor made better offer,0
1,79,1,0,0,San Diego,32.85723,-117.209774,34902,1,1,11,,1,29.54,0,0,,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,1,80,5888,Competitor,Competitor made better offer,0
0,66,1,0,0,San Diego,32.85723,-117.209774,34902,1,2,55,Offer B,1,42.82,1,1,Fiber Optic,27,0,1,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,91,5502,Competitor,Competitor made better offer,0
1,77,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,3,Offer E,1,9.22,1,1,Fiber Optic,14,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,73,2818,Competitor,Competitor made better offer,0
0,80,0,0,0,Thermal,33.53604,-116.119222,17018,0,0,1,Offer E,1,35.09,0,1,Fiber Optic,17,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,1,67,4902,Dissatisfaction,Network reliability,0
0,77,0,0,0,Riverside,34.004379,-117.447864,63999,0,0,5,Offer E,0,0.0,0,1,DSL,26,0,1,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,1,89,4099,Dissatisfaction,Limited range of services,0
0,77,0,0,0,Hemet,33.644585,-116.871544,39264,0,0,20,,1,48.73,1,1,Fiber Optic,12,0,1,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,1,87,2666,Competitor,Competitor had better devices,0
0,72,1,0,0,Moreno Valley,33.970661,-117.255039,46214,1,4,5,Offer E,1,45.76,1,1,Fiber Optic,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,1,82,5273,Dissatisfaction,Product dissatisfaction,0
0,80,1,0,0,Perris,33.828289,-117.201666,26357,1,2,27,,1,7.02,0,1,Cable,25,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,1,91,4517,Attitude,Attitude of support person,0
0,74,0,0,0,Anaheim,33.848733,-117.788357,36301,0,0,4,,1,48.35,1,1,Cable,24,0,0,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,1,74,5808,Competitor,Competitor had better devices,0
0,68,0,0,0,Brea,33.924143,-117.79387,1408,0,0,1,,1,45.81,1,1,Fiber Optic,21,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,1,66,4880,Competitor,Competitor had better devices,0
0,78,1,0,0,Yorba Linda,33.884073,-117.732197,20893,1,3,65,Offer B,1,18.39,1,1,Fiber Optic,28,1,0,1,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,91,4196,Attitude,Attitude of support person,0
1,75,1,0,0,Summerland,34.420998,-119.60137,576,1,3,49,Offer B,1,22.92,1,1,Fiber Optic,14,0,1,0,0,0,1,0,1,Month-to-Month,0,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,96,5059,Competitor,Competitor made better offer,0
1,77,1,0,0,Santa Barbara,34.419203,-119.710008,31727,1,1,43,Offer B,1,14.52,1,1,Fiber Optic,5,0,1,1,1,1,1,0,1,Month-to-Month,1,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,65,2728,Competitor,Competitor made better offer,0
1,80,1,0,0,Alpaugh,35.869626,-119.498771,1054,0,0,56,Offer B,1,48.8,1,1,Fiber Optic,12,1,0,1,0,1,1,0,1,One Year,1,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,1,91,6268,Competitor,Competitor offered higher download speeds,0
1,75,1,0,0,Camp Nelson,36.057458,-118.591951,191,1,7,20,,1,5.31,1,1,Fiber Optic,10,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,1,84,5604,Competitor,Competitor had better devices,0
0,69,0,0,0,Delano,35.772244,-119.209689,37280,0,0,2,,1,47.47,1,1,Fiber Optic,19,0,1,0,0,0,1,1,1,Month-to-Month,0,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,1,80,2065,Attitude,Attitude of support person,0
0,74,0,0,0,Fellows,35.215731,-119.57013,626,0,0,8,,1,27.95,0,0,,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,1,83,5432,Attitude,Attitude of support person,0
1,76,0,0,0,Temecula,33.507255,-117.029473,46171,0,0,52,,0,0.0,0,1,DSL,18,0,1,0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,1,90,5597,Competitor,Competitor made better offer,0
1,69,0,0,0,San Diego,32.961064,-117.134917,47224,0,0,2,,1,43.99,0,1,DSL,27,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,95,3475,Competitor,Competitor made better offer,0
1,72,1,0,0,San Diego,32.961064,-117.134917,47224,1,1,33,,1,27.78,1,1,Fiber Optic,8,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,1,91,4333,Other,Poor expertise of online support,0
0,69,0,0,0,San Diego,32.961064,-117.134917,47224,0,0,30,,1,45.88,1,1,Fiber Optic,19,1,1,1,0,0,0,0,1,Month-to-Month,0,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,90,2482,Competitor,Competitor made better offer,0
1,73,0,0,0,San Diego,32.961064,-117.134917,47224,0,0,20,,1,44.44,1,1,Fiber Optic,13,0,0,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,1,92,5444,Competitor,Competitor made better offer,0
0,65,0,0,0,Biola,36.798882,-120.019511,807,0,0,46,,1,2.37,1,1,Fiber Optic,20,1,1,1,0,1,1,1,1,One Year,1,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,81,2403,Competitor,Competitor made better offer,0
1,74,1,0,0,Selma,36.545322,-119.642281,26213,1,1,7,,1,21.91,1,1,Cable,11,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,1,83,3265,Competitor,Competitor made better offer,0
0,65,0,0,0,Squaw Valley,36.719141,-119.202677,3146,0,0,4,,1,36.93,0,1,Fiber Optic,18,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,1,72,5301,Other,Moved,0
0,66,0,0,0,Fresno,36.654614,-119.903674,35790,0,0,55,,1,37.38,1,1,Fiber Optic,7,0,0,1,0,1,1,1,0,One Year,1,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,83,5679,Competitor,Competitor offered higher download speeds,0
1,71,1,0,0,Jolon,35.930782,-121.189757,254,1,1,20,,1,5.37,0,1,Fiber Optic,24,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,1,95,5849,Competitor,Competitor had better devices,0
1,65,0,0,0,San Francisco,37.7795,-122.419233,28998,0,0,9,,1,48.71,1,1,Fiber Optic,15,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,1,70,4038,Competitor,Competitor had better devices,0
1,69,0,0,0,San Francisco,37.791998,-122.408653,13723,0,0,10,,1,5.46,0,1,Fiber Optic,24,0,1,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,1,91,3189,Competitor,Competitor had better devices,0
1,75,1,0,0,San Francisco,37.758085,-122.434801,30587,0,0,1,,1,36.92,1,1,Fiber Optic,6,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,2,1,94,4369,Price,Price too high,0
0,75,0,0,0,San Francisco,37.820894,-122.369725,1458,0,0,3,,1,41.9,1,1,Fiber Optic,11,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,1,1,91,3501,Dissatisfaction,Product dissatisfaction,0
0,68,0,0,0,Palo Alto,37.386978,-122.177746,1723,0,0,4,,1,6.68,1,1,Cable,17,0,0,0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,83,2467,Competitor,Competitor had better devices,0
1,71,0,0,0,Birds Landing,38.140719,-121.838298,138,0,0,35,,1,20.83,1,1,Fiber Optic,19,0,0,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,1,82,2074,Other,Don't know,0
1,80,0,0,0,Byron,37.83323,-121.601461,10153,0,0,2,Offer E,1,26.62,0,1,DSL,11,0,0,0,0,0,0,0,1,Month-to-Month,0,Credit Card,44.95,85.15,0.0,0,53.24,138.39,2,1,84,5900,Other,Don't know,0
1,66,0,0,0,Fremont,37.516791,-121.899117,46917,0,0,8,,1,11.57,0,1,Fiber Optic,27,1,0,0,1,1,1,1,1,Month-to-Month,0,Credit Card,100.3,832.35,0.0,0,92.56,924.91,1,1,74,5084,Competitor,Competitor had better devices,0
1,73,1,0,0,Livermore,37.571748,-121.659562,75929,1,2,44,,0,0.0,0,1,Cable,28,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,1,96,4829,Competitor,Competitor had better devices,0
1,77,1,0,0,Napa,38.489789,-122.27011,63947,1,1,62,,1,7.11,1,1,Fiber Optic,16,0,1,1,0,1,1,1,1,One Year,1,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,1,91,5052,Competitor,Competitor had better devices,0
0,76,1,0,0,Pleasanton,37.633361,-121.862395,36669,1,1,33,,1,33.19,1,1,Cable,15,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,72,3601,Competitor,Competitor offered more data,0
0,65,0,0,0,San Ramon,37.766556,-121.976784,44078,0,0,4,Offer E,1,49.5,1,1,Fiber Optic,23,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,1,91,5419,Competitor,Competitor made better offer,0
1,75,1,0,0,Pleasanton,37.685052,-121.912061,28568,1,1,27,,1,10.6,1,1,Fiber Optic,23,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,1,65,2377,Competitor,Competitor had better devices,0
1,75,0,0,0,Berkeley,37.871416,-122.246597,21205,0,0,8,Offer E,1,40.45,1,1,Fiber Optic,29,0,0,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,1,90,5906,Attitude,Attitude of support person,0
0,68,1,0,0,Berkeley,37.897753,-122.279391,11889,1,1,3,Offer E,1,25.77,0,1,Fiber Optic,2,1,0,0,1,1,0,0,1,Month-to-Month,1,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,1,68,4486,Attitude,Attitude of support person,0
0,71,0,0,0,Berkeley,37.872902,-122.303708,8157,0,0,8,Offer E,1,42.93,0,1,Fiber Optic,9,0,0,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,1,81,5662,Competitor,Competitor had better devices,0
1,74,0,0,0,Greenbrae,37.946617,-122.563571,12010,0,0,14,,1,11.31,0,1,Fiber Optic,24,0,0,0,0,1,1,0,1,Month-to-Month,0,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,96,4777,Competitor,Competitor offered more data,0
1,77,0,0,0,Forest Knolls,38.010092,-122.689442,1025,0,0,12,,0,0.0,0,1,DSL,10,0,0,1,1,0,1,0,1,Month-to-Month,1,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,1,74,2437,Competitor,Competitor had better devices,0
0,73,0,0,0,Freedom,36.936228,-121.785559,4753,0,0,13,,1,40.37,0,1,Fiber Optic,21,0,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,1,1,90,2995,Competitor,Competitor had better devices,0
0,68,0,0,0,Gilroy,37.03889,-121.528955,49968,0,0,11,,1,3.96,0,1,Fiber Optic,27,0,0,0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,1,89,2202,Attitude,Attitude of support person,0
1,74,1,0,0,Los Gatos,37.222842,-121.988727,13290,1,1,17,,1,28.18,1,1,Cable,16,0,0,1,0,1,1,0,1,Month-to-Month,1,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,3,1,87,5508,Competitor,Competitor offered more data,0
1,65,1,0,0,San Jose,37.316146,-121.936285,32804,1,1,39,,1,33.25,1,1,Fiber Optic,26,0,1,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,96,4687,Attitude,Attitude of support person,0
0,73,1,0,0,San Jose,37.28682,-121.723877,15798,1,5,11,,1,17.25,1,1,Fiber Optic,27,0,0,1,1,1,1,0,1,Month-to-Month,1,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,3,1,82,4553,Competitor,Competitor offered more data,0
0,74,1,0,0,Glencoe,38.358464,-120.579304,21,1,1,3,Offer E,1,3.29,0,1,Fiber Optic,9,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,2,1,89,3834,Attitude,Attitude of service provider,0
1,80,0,0,0,Columbia,38.085839,-120.37855,2144,0,0,21,,1,34.62,0,1,DSL,14,0,0,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,1,1,70,4716,Competitor,Competitor had better devices,0
0,76,0,0,0,Escondido,33.141265,-116.967221,48690,0,0,16,,1,38.75,1,1,Fiber Optic,16,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,2,1,96,5913,Other,Don't know,0
0,73,0,0,0,Lakewood,33.840524,-118.148403,30173,0,0,46,,1,6.13,0,1,Fiber Optic,30,0,1,0,0,1,1,0,1,One Year,0,Credit Card,95.25,4424.2,0.0,0,281.98,4706.18,2,1,90,3180,Competitor,Competitor had better devices,0
0,70,1,0,0,Fulton,38.493888,-122.777141,476,1,1,68,Offer A,1,24.13,1,1,Fiber Optic,24,0,1,0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,69,5651,Competitor,Competitor had better devices,0
1,75,1,0,0,Nice,39.12334,-122.838198,2223,1,1,7,Offer E,1,13.63,0,1,Fiber Optic,27,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11,2,1,89,3077,Dissatisfaction,Network reliability,0
1,74,1,0,0,Alderpoint,40.166028,-123.584144,261,1,1,15,,1,45.25,1,1,Cable,22,0,0,0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,1,1,83,4981,Competitor,Competitor had better devices,0
1,76,0,0,0,Bayside,40.825486,-124.049485,1689,0,0,16,,1,19.18,1,1,Fiber Optic,22,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1587.88,3,1,81,2508,Dissatisfaction,Network reliability,0
0,75,0,0,0,Loleta,40.665952,-124.240051,1447,0,0,1,Offer E,1,29.68,0,1,Cable,18,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,2,1,75,4371,Attitude,Attitude of support person,0
0,74,0,0,0,Rio Dell,40.485849,-124.163234,3284,0,0,1,,0,0.0,0,1,Cable,5,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,25.2,25.2,0.0,0,0.0,25.2,1,1,67,5688,Competitor,Competitor made better offer,0
0,73,0,0,0,Davis,38.544002,-121.685559,648,0,0,13,,1,19.03,1,1,Fiber Optic,24,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,1,1,90,2230,Competitor,Competitor made better offer,0
0,69,0,0,0,Folsom,38.672638,-121.147403,51855,0,0,1,,1,20.06,0,1,Fiber Optic,24,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26,3,1,76,4363,Competitor,Competitor made better offer,0
0,75,1,0,0,Madison,38.674276,-121.961866,844,1,1,34,,1,2.88,1,1,Fiber Optic,4,0,1,1,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,88,3369,Competitor,Competitor had better devices,0
0,65,0,0,0,Pleasant Grove,38.833554,-121.498102,901,0,0,4,,1,12.68,0,1,Fiber Optic,10,0,1,1,0,1,1,1,1,Month-to-Month,1,Credit Card,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,89,2268,Competitor,Competitor had better devices,0
0,77,0,0,0,Sheridan,38.984756,-121.345074,1219,0,0,2,,1,19.27,1,1,Fiber Optic,18,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,93.85,170.85,0.0,0,38.54,209.39,3,1,72,4193,Other,Poor expertise of online support,0
1,67,0,0,0,Wheatland,39.043387,-121.409837,3600,0,0,9,,1,30.8,1,1,Fiber Optic,18,0,0,0,0,0,1,0,1,Month-to-Month,1,Credit Card,84.4,732.5,0.0,0,277.2,1009.7,2,1,83,5745,Attitude,Attitude of support person,0
0,78,0,0,0,Rancho Cordova,38.591134,-121.161585,299,0,0,5,,1,42.33,0,1,Fiber Optic,9,0,0,1,0,0,0,0,1,Month-to-Month,1,Credit Card,75.55,349.65,0.0,0,211.65,561.3,1,1,90,4028,Competitor,Competitor had better devices,0
1,65,0,0,0,Canyon Dam,40.171312,-121.120605,86,0,0,22,Offer D,1,40.18,1,1,Fiber Optic,8,0,0,0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,1,1,93,4458,Competitor,Competitor made better offer,0
1,74,0,0,0,Dobbins,39.381174,-121.21191,614,0,0,19,Offer D,1,39.97,1,1,Fiber Optic,9,0,1,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,1,1,69,5683,Competitor,Competitor had better devices,0
1,70,0,0,0,Forest Ranch,40.077028,-121.494168,1351,0,0,15,Offer D,1,46.38,1,1,Fiber Optic,19,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.35,3,1,96,2099,Attitude,Attitude of support person,0
