gender,age,married,number_of_dependents,latitude,longitude,number_of_referrals,phone_service,multiple_lines,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,unlimited_data,paperless_billing,total_refunds,total_extra_data_charges,total_long_distance_charges,satisfaction_score,churn,cltv,corr_total_charges,contract_one_year,contract_two_year,payment_method_credit_card,payment_method_mailed_check,offer_offer_b,offer_offer_c,offer_offer_d,offer_offer_e,offer_nan,internet_type_dsl,internet_type_fiber_optic,internet_type_nan,streaming_music_or_movies
1,66,0,0,32.827184,-116.703729,0,1,0,7,0,1,0,0,0,1,1,0.0,0.0,0.023477042288352158,2,1,4345,151.6375,0,0,0,0,0,0,0,0,1,0,1,0,0
1,69,0,0,32.85723,-117.209774,0,1,1,15,0,0,0,0,0,1,1,0.0,0.0,0.4325801366263794,2,1,2018,428.175,0,0,0,0,0,1,0,0,0,0,1,0,0
0,74,0,0,32.85723,-117.209774,0,1,1,2,0,0,0,0,1,1,1,0.0,0.0,0.3192123201211815,3,1,3677,99.025,0,0,0,0,0,0,0,1,0,0,1,0,1
1,76,1,0,32.85723,-117.209774,2,1,1,10,0,0,0,0,0,1,1,0.0,0.0,0.6576855449671132,2,1,4105,575.8375,0,0,0,0,0,1,0,0,0,0,1,0,0
1,77,1,0,32.85723,-117.209774,1,1,0,12,0,0,1,0,1,1,1,0.0,0.0,0.17319199480065436,2,1,2212,557.7625,0,0,0,0,0,1,0,0,0,0,0,0,1
0,70,0,0,32.85723,-117.209774,0,1,1,5,1,1,0,1,1,1,0,0.0,0.0,0.14995517344428863,1,1,4149,621.4428571428572,1,0,0,0,1,0,0,0,0,1,0,0,1
0,74,0,0,32.85723,-117.209774,0,1,0,10,0,0,0,0,0,1,1,0.0,0.0,0.18942826321467096,3,1,2671,46.35,0,0,0,0,0,0,0,1,0,0,1,0,0
0,77,0,0,32.85723,-117.209774,0,0,0,8,1,0,0,0,1,1,1,0.0,0.0,0.0,1,1,4778,280.03333333333336,0,0,0,0,0,0,0,0,1,0,0,0,0
1,71,1,0,32.85723,-117.209774,0,0,0,13,1,0,0,0,0,0,0,0.0,0.17389144205688734,0.0,1,1,2927,402.55,0,0,1,0,0,0,0,0,1,0,0,0,0
1,79,1,0,32.85723,-117.209774,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5131082654249126,1,1,5888,214.75,0,0,0,1,0,0,0,0,1,0,0,1,0
0,66,1,0,32.85723,-117.209774,2,1,1,27,0,1,1,0,0,0,1,0.0,0.01846267462613084,0.4831271668000082,1,1,5502,974.9399999999999,0,0,0,0,1,0,0,0,0,0,1,0,0
1,77,0,0,32.85723,-117.209774,0,1,1,14,0,1,0,0,0,1,1,0.0,0.0,0.11835686777920414,1,1,2818,46.739999999999995,0,0,0,0,0,0,0,1,0,0,1,0,0
0,80,0,0,33.53604,-116.119222,0,1,0,17,0,0,1,0,0,0,1,0.0,0.2656042496679947,0.46600265604249674,2,1,4902,25.099999999999998,0,0,0,0,0,0,0,1,0,0,1,0,0
0,77,0,0,34.004379,-117.447864,0,0,0,26,0,1,0,0,0,1,0,0.0,0.0,0.0,2,1,4099,43.68333333333334,0,0,0,0,0,0,0,1,0,1,0,0,0
0,77,0,0,33.644585,-116.871544,0,1,1,12,0,1,1,0,0,0,1,0.0,0.04488330341113106,0.5467908438061041,1,1,2666,356.48,0,0,0,0,0,0,0,0,1,0,1,0,1
0,72,1,0,33.970661,-117.255039,4,1,1,22,0,0,0,0,0,1,1,0.0,0.0,0.6833930704898447,1,1,5273,83.7,0,0,0,0,0,0,0,1,0,0,1,0,0
0,80,1,0,33.828289,-117.201666,2,1,0,25,1,0,0,0,0,1,1,0.0,0.0,0.0982403400108845,1,1,4517,482.3375,0,0,0,0,0,0,0,0,1,0,0,0,0
0,74,0,0,33.848733,-117.788357,0,1,1,24,0,0,1,0,1,1,1,0.0,0.0,0.5586366262276141,1,1,5808,69.24,0,0,0,0,0,0,0,0,1,0,0,0,0
0,68,0,0,33.924143,-117.79387,0,1,1,21,0,0,0,0,1,1,1,0.0,0.0,0.5345390898483081,1,1,4880,21.425,0,0,0,0,0,0,0,0,1,0,1,0,0
0,78,1,0,33.884073,-117.732197,3,1,1,28,1,0,1,0,1,1,0,0.0,0.0,0.17613904279146528,1,1,4196,1131.0666666666666,0,0,0,0,1,0,0,0,0,0,1,0,1
1,75,1,0,34.420998,-119.60137,3,1,1,14,0,1,0,0,0,1,0,0.0,0.0,0.24698004288306122,2,1,5059,909.45,0,0,1,0,1,0,0,0,0,0,1,0,1
1,77,1,0,34.419203,-119.710008,1,1,1,5,0,1,1,1,1,1,1,0.0,0.0,0.1331854348428934,2,1,2728,669.6999999999999,0,0,0,0,1,0,0,0,0,0,1,0,1
1,80,1,0,35.869626,-119.498771,0,1,1,12,1,0,1,0,1,1,1,0.0,0.0,0.47160743099238095,1,1,6268,965.775,1,0,0,0,1,0,0,0,0,0,1,0,1
1,75,1,0,36.057458,-118.591951,7,1,1,10,0,0,0,0,1,1,1,0.0,0.0,0.05590503513805174,1,1,5604,474.9125,0,0,0,0,0,0,0,0,1,0,1,0,1
0,69,0,0,35.772244,-119.209689,0,1,1,19,0,1,0,0,0,1,0,0.0,0.0,0.5878637770897832,2,1,2065,32.3,0,0,0,0,0,0,0,0,1,0,1,0,1
0,74,0,0,35.215731,-119.57013,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3609251369446134,2,1,5432,164.3,0,0,0,0,0,0,0,0,1,0,0,1,0
1,76,0,0,33.507255,-117.029473,0,0,0,18,0,1,0,0,1,0,1,0.0,0.011760555098200634,0.0,2,1,5597,1275.45,0,0,0,0,0,0,0,0,1,1,0,0,1
1,69,0,0,32.961064,-117.134917,0,1,0,27,1,0,0,0,0,1,1,0.0,0.0,0.9657519209659715,2,1,3475,22.775,0,0,0,0,0,0,0,0,1,1,0,0,0
1,72,1,0,32.961064,-117.134917,1,1,1,8,0,0,0,0,1,1,1,0.0,0.0,0.29519408800373526,3,1,4333,776.3875,0,0,0,0,0,0,0,0,1,0,1,0,1
0,69,0,0,32.961064,-117.134917,0,1,1,19,1,1,1,0,0,1,0,0.0,0.0,0.4990301470188351,1,1,2482,394.0214285714286,0,0,1,0,0,0,0,0,1,0,1,0,0
1,73,0,0,32.961064,-117.134917,0,1,1,13,0,0,1,0,1,0,1,0.0,0.06511829824180596,0.48230952897764273,3,1,5444,460.7,0,0,0,0,0,0,0,0,1,0,1,0,1
0,65,0,0,36.798882,-120.019511,0,1,1,20,1,1,1,0,1,1,1,0.0,0.0,0.022363994420283907,1,1,2403,696.4,1,0,0,0,0,0,0,0,1,0,1,0,1
1,74,1,0,36.545322,-119.642281,1,1,1,11,0,0,0,0,1,1,1,0.0,0.0,0.23802281368821293,3,1,3265,161.0875,0,0,0,0,0,0,0,0,1,0,0,0,1
0,65,0,0,36.719141,-119.202677,0,1,0,18,0,0,0,0,1,1,1,0.0,0.0,0.5045081967213114,3,1,5301,97.60000000000001,0,0,0,0,0,0,0,0,1,0,1,0,0
0,66,0,0,36.654614,-119.903674,0,1,1,7,0,0,1,0,1,0,1,0.0,0.01815112627738551,0.37316900513676876,3,1,5679,1377.325,1,0,0,0,0,0,0,0,1,0,1,0,1
1,71,1,0,35.930782,-121.189757,1,1,0,24,0,1,0,0,0,1,1,0.0,0.0,0.07338571916638197,1,1,5849,365.875,0,0,0,0,0,0,0,0,1,0,1,0,0
1,65,0,0,37.7795,-122.419233,0,1,1,15,0,0,1,0,1,1,1,0.0,0.0,0.47723709993468316,1,1,4038,183.72,0,0,0,0,0,0,0,0,1,0,1,0,1
1,69,0,0,37.791998,-122.408653,0,1,0,24,0,1,0,0,0,0,1,0.0,0.04356349379220214,0.0792855587018079,1,1,3189,229.54999999999998,0,0,0,0,0,0,0,0,1,0,1,0,0
1,75,1,0,37.758085,-122.434801,0,1,1,6,0,0,0,0,0,1,1,0.0,0.0,0.5019714479945616,2,1,4369,18.3875,0,0,0,0,0,0,0,0,1,0,1,0,0
0,75,0,0,37.820894,-122.369725,0,1,1,11,0,1,0,0,0,1,1,0.0,0.0,0.6130212143379663,1,1,3501,41.010000000000005,0,0,0,0,0,0,0,0,1,0,1,0,0
0,68,0,0,37.386978,-122.177746,0,1,1,17,0,0,0,0,0,1,1,0.0,0.0,0.07420161066370452,1,1,2467,90.025,0,0,0,0,0,0,0,0,1,0,0,0,1
1,71,0,0,38.140719,-121.838298,0,1,1,19,0,0,1,0,1,0,1,0.0,0.035337770186701215,0.214691677955121,1,1,2074,848.95,0,0,0,0,0,0,0,0,1,0,1,0,1
1,80,0,0,37.83323,-121.601461,0,1,0,11,0,0,0,0,0,1,0,0.0,0.0,0.6252495596007046,2,1,5900,28.383333333333336,0,0,1,0,0,0,0,1,0,1,0,0,0
1,66,0,0,37.516791,-121.899117,0,1,0,27,1,0,0,1,1,1,0,0.0,0.0,0.11120321979936325,1,1,5084,166.47,0,0,1,0,0,0,0,0,1,0,1,0,1
1,73,1,0,37.571748,-121.659562,2,0,0,28,0,1,0,0,0,1,1,0.0,0.0,0.0,1,1,4829,453.23333333333335,0,0,0,0,0,0,0,0,1,0,0,0,0
1,77,1,0,38.489789,-122.27011,1,1,1,16,0,1,1,0,1,1,1,0.0,0.0,0.0690577831389474,1,1,5052,1063.8916666666667,1,0,0,0,0,0,0,0,1,0,1,0,1
0,76,1,0,37.633361,-121.862395,1,1,1,15,0,1,0,0,0,1,1,0.0,0.0,0.4122981366459627,2,1,3601,531.3,0,0,0,0,0,0,0,0,1,0,0,0,0
0,65,0,0,37.766556,-121.976784,0,1,1,23,0,0,0,0,1,1,1,0.0,0.0,0.4664860407586288,2,1,5419,106.1125,0,0,0,0,0,0,0,1,0,0,1,0,1
1,75,1,0,37.685052,-121.912061,1,1,1,23,0,0,0,0,0,1,1,0.0,0.0,0.15111275376857888,1,1,2377,473.4875,0,0,0,0,0,0,0,0,1,0,1,0,0
1,75,0,0,37.871416,-122.246597,0,1,1,29,0,0,1,0,1,1,1,0.0,0.0,0.3949231144740054,1,1,5906,163.88,0,0,0,0,0,0,0,1,0,0,1,0,1
0,68,1,0,37.897753,-122.279391,1,1,0,2,1,0,0,1,1,1,1,0.0,0.0,0.2824109589041096,1,1,4486,54.75,0,0,0,1,0,0,0,1,0,0,1,0,0
0,71,0,0,37.872902,-122.303708,0,1,0,9,0,0,1,0,1,1,1,0.0,0.0,0.4704979793136516,1,1,5662,182.4875,0,0,0,0,0,0,0,1,0,0,1,0,1
1,74,0,0,37.946617,-122.563571,0,1,0,24,0,0,0,0,1,1,0,0.0,0.0,0.12506121159466077,3,1,4777,422.0333333333333,0,0,1,0,0,0,0,0,1,0,1,0,1
1,77,0,0,38.010092,-122.689442,0,0,0,10,0,0,1,1,0,1,1,0.0,0.0,0.0,1,1,2437,131.7375,0,0,0,0,0,0,0,0,1,1,0,0,1
0,73,0,0,36.936228,-121.785559,0,1,0,21,0,0,1,0,0,1,1,0.0,0.0,0.5581007071834955,1,1,2995,235.0875,0,0,0,0,0,0,0,0,1,0,1,0,0
0,68,0,0,37.03889,-121.528955,0,1,0,27,0,0,0,0,1,1,0,0.0,0.0,0.04157678724825809,2,1,2202,349.23333333333335,0,0,0,0,0,0,0,0,1,0,1,0,1
1,74,1,0,37.222842,-121.988727,1,1,1,16,0,0,1,0,1,1,1,0.0,0.0,0.29526949983050327,3,1,5508,324.49,0,0,1,0,0,0,0,0,1,0,0,0,1
1,65,1,0,37.316146,-121.936285,1,1,1,26,0,1,1,0,1,1,1,0.0,0.0,0.30263956310679613,3,1,4687,714.1333333333333,0,0,0,0,0,0,0,0,1,0,1,0,1
0,73,1,0,37.28682,-121.723877,5,1,1,27,0,0,1,1,1,1,1,0.0,0.0,0.1673797027301195,3,1,4553,188.9416666666667,0,0,0,0,0,0,0,0,1,0,1,0,1
0,74,1,0,38.358464,-120.579304,1,1,0,9,0,0,0,0,1,1,1,0.0,0.0,0.044052666815442974,2,1,3834,74.68333333333334,0,0,0,0,0,0,0,1,0,0,1,0,0
1,80,0,0,38.085839,-120.37855,0,1,0,14,0,0,1,0,1,1,1,0.0,0.0,0.5881325081907535,1,1,4716,309.0375,0,0,0,0,0,0,0,0,1,1,0,0,0
0,76,0,0,33.141265,-116.967221,0,1,1,16,0,0,0,0,1,1,1,0.0,0.0,0.4054407533350772,2,1,5913,382.3,0,0,0,0,0,0,0,0,1,0,1,0,1
0,73,0,0,33.840524,-118.148403,0,1,0,30,0,1,0,0,1,1,0,0.0,0.0,0.06373581664481714,2,1,3180,1106.05,1,0,1,0,0,0,0,0,1,0,1,0,1
0,70,1,0,38.493888,-122.777141,1,1,1,24,0,1,0,0,0,1,1,0.0,0.0,0.26777857562504076,1,1,5651,1225.52,0,0,0,0,0,0,0,0,0,0,1,0,1
1,75,1,0,39.12334,-122.838198,1,1,0,27,0,0,0,0,1,1,1,0.0,0.0,0.14099305452933353,2,1,3077,225.5666666666667,0,0,0,0,0,0,0,1,0,0,1,0,1
1,74,1,0,40.166028,-123.584144,1,1,1,22,0,0,0,0,0,1,1,0.0,0.0,0.5044405633384118,1,1,4981,336.3875,0,0,0,0,0,0,0,0,1,0,0,0,1
1,76,0,0,40.825486,-124.049485,0,1,1,22,0,0,0,0,1,1,1,0.0,0.0,0.23956284153005464,3,1,2508,320.25,0,0,0,0,0,0,0,0,1,0,1,0,0
0,75,0,0,40.665952,-124.240051,0,1,0,18,0,0,0,0,0,1,1,0.0,0.0,0.42859205776173287,2,1,4371,23.083333333333332,0,0,0,0,0,0,0,1,0,0,0,0,0
0,74,0,0,40.485849,-124.163234,0,0,0,5,0,0,0,0,0,1,1,0.0,0.0,0.0,1,1,5688,12.6,0,0,0,0,0,0,0,0,1,0,0,0,0
0,73,0,0,38.544002,-121.685559,0,1,1,24,0,0,0,0,1,1,1,0.0,0.0,0.1917751937984496,1,1,2230,322.5,0,0,0,0,0,0,0,0,1,0,1,0,1
0,69,0,0,38.672638,-121.147403,0,1,0,24,0,0,0,0,1,1,1,0.0,0.0,0.2532828282828283,3,1,4363,26.400000000000002,0,0,0,0,0,0,0,0,1,0,1,0,0
0,75,1,0,38.674276,-121.961866,1,1,1,4,0,1,1,0,0,1,1,0.0,0.0,0.030433093502820467,1,1,3369,536.2583333333333,0,0,0,0,0,0,0,0,1,0,1,0,1
0,65,0,0,38.833554,-121.498102,0,1,0,10,0,1,1,0,1,1,1,0.0,0.0,0.114530879530315,1,1,2268,88.57000000000001,0,0,1,0,0,0,0,0,1,0,1,0,1
0,77,0,0,38.984756,-121.345074,0,1,1,18,0,0,0,0,1,1,1,0.0,0.0,0.22557799239098625,3,1,4193,42.7125,0,0,0,0,0,0,0,0,1,0,1,0,1
1,67,0,0,39.043387,-121.409837,0,1,1,18,0,0,0,0,0,1,1,0.0,0.0,0.37843003412969284,2,1,5745,183.125,0,0,1,0,0,0,0,0,1,0,1,0,1
0,78,0,0,38.591134,-121.161585,0,1,0,9,0,0,1,0,0,1,1,0.0,0.0,0.6053196053196054,1,1,4028,87.4125,0,0,1,0,0,0,0,0,1,0,1,0,0
1,65,0,0,40.171312,-121.120605,0,1,1,8,0,0,0,0,1,0,1,0.0,0.048008833625387076,0.4243788857149716,1,1,4458,694.3166666666666,0,0,0,0,0,0,1,0,0,0,1,0,1
1,74,0,0,39.381174,-121.21191,0,1,1,9,0,1,0,0,1,1,1,0.0,0.0,0.427655141344746,1,1,5683,355.15999999999997,0,0,0,0,0,0,1,0,0,0,1,0,0
1,70,0,0,40.077028,-121.494168,0,1,1,19,0,0,0,0,0,1,0,0.0,0.0,0.6067239349409148,3,1,2099,286.6625,0,0,0,0,0,0,1,0,0,0,1,0,0
1,69,0,0,39.099204,-121.137962,0,1,1,20,0,0,0,0,0,1,1,0.0,0.0,0.15180722891566265,1,1,3348,18.675,0,0,0,0,0,0,0,0,1,0,1,0,0
0,76,0,0,39.333737,-120.858667,0,0,0,26,0,0,0,0,0,0,1,0.0,0.7751937984496123,0.0,1,1,3884,25.8,0,0,0,1,0,0,0,0,1,1,0,0,0
1,71,0,0,33.141265,-116.967221,0,1,1,14,0,0,0,0,1,1,1,0.0,0.0,0.4605109367173151,1,1,5353,224.5875,0,0,0,0,0,0,1,0,0,0,1,0,1
0,76,0,0,33.362575,-117.299644,0,1,0,6,0,0,0,0,0,0,0,0.0,0.07867820613690009,0.7114083398898505,3,1,4145,63.55,0,0,0,0,0,0,0,0,1,1,0,0,0
1,77,1,0,40.704293,-122.803899,1,1,0,19,0,0,0,0,0,1,1,0.0,0.0,0.08802357398442433,2,1,5374,316.73333333333335,0,0,0,0,0,0,1,0,0,0,1,0,1
1,74,0,0,40.582399,-122.195512,0,1,0,11,0,1,0,0,0,1,1,0.0,0.0,0.07871825876662636,2,1,2803,41.35,0,0,0,0,0,0,0,0,1,0,1,0,0
1,77,0,0,40.923558,-122.059933,0,1,1,20,0,0,1,0,1,0,1,0.0,0.11261261261261261,0.5585585585585586,1,1,3106,22.2,0,0,0,0,0,0,0,0,1,0,1,0,0
1,76,1,0,32.957195,-117.202542,1,1,0,5,0,1,0,1,0,1,1,0.0,0.0,0.01634241245136187,1,1,3861,233.86999999999998,0,0,0,0,0,0,1,0,0,0,1,0,1
0,77,0,0,32.957195,-117.202542,0,1,0,23,0,1,0,0,1,1,1,0.0,0.0,0.3125697593303105,2,1,2740,573.4,0,0,0,0,0,0,1,0,0,0,1,0,1
0,80,1,0,32.957195,-117.202542,1,1,1,6,1,0,1,0,0,1,1,0.0,0.0,0.42771533021285324,1,1,3209,243.90833333333333,0,0,0,0,0,0,1,0,0,0,1,0,0
1,68,0,0,32.957195,-117.202542,0,1,0,2,0,0,0,0,0,1,1,0.0,0.0,0.902945756553335,1,1,3797,256.8666666666667,0,0,0,0,0,0,0,0,1,1,0,0,0
0,79,0,0,32.957195,-117.202542,0,1,1,17,0,0,0,0,1,1,1,0.0,0.0,0.11302469397263755,2,1,4871,885.3375,0,0,0,0,0,0,0,0,1,0,1,0,0
1,65,0,0,32.957195,-117.202542,0,1,0,16,0,0,0,0,1,1,1,0.0,0.0,0.5347661188369153,3,1,5001,26.366666666666664,0,0,0,0,0,0,0,0,1,0,1,0,0
1,68,0,0,32.898613,-117.202937,0,1,0,12,0,0,1,0,0,1,1,0.0,0.0,0.7932203389830509,2,1,3438,12.5375,0,0,0,1,0,0,0,1,0,0,0,0,0
0,72,0,0,33.86532,-118.396336,0,1,0,15,0,0,0,0,0,1,1,0.0,0.0,0.49583333333333335,1,1,3438,23.2,0,0,0,0,0,0,0,1,0,0,1,0,0
0,66,0,0,33.845706,-118.012204,0,1,1,23,1,1,1,0,1,1,1,0.0,0.0,0.24436507090308135,1,1,3380,669.9285714285714,0,0,0,0,0,0,0,0,1,0,1,0,1
1,68,0,0,33.874224,-117.993368,0,1,0,4,0,0,0,0,1,0,1,0.024842858926861756,0.11655496815551762,0.28258752029305245,1,1,5394,600.575,0,0,0,0,0,0,0,0,1,0,1,0,1
1,69,1,0,33.781086,-118.199049,1,1,1,23,0,0,0,0,0,1,1,0.01876194621600651,0.0,0.07254972464563501,1,1,4584,660.5125,0,0,0,0,0,0,0,0,1,0,1,0,1
1,76,1,0,34.110444,-118.156957,1,1,1,10,0,0,0,0,0,1,0,0.0,0.0,0.5964450791026268,1,1,2712,665.275,0,0,0,0,0,0,0,0,1,0,1,0,1
1,70,1,0,34.167926,-118.267539,1,0,0,3,0,0,0,0,1,1,1,0.004691113313511728,0.0,0.0,2,1,5172,1286.475,0,0,0,0,0,0,0,0,1,0,0,0,1
1,71,0,0,34.136306,-118.26036,0,1,0,14,0,0,0,0,0,1,0,0.0,0.0,0.3388026607538802,2,1,4499,15.033333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0
1,75,0,0,34.200175,-118.540958,0,0,0,26,0,1,1,0,0,1,1,0.0,0.0,0.0,3,1,4972,10.825,0,0,0,0,0,0,0,1,0,1,0,0,1
0,67,0,0,34.321621,-118.399841,0,1,0,27,1,1,0,0,0,1,1,0.0,0.0,0.4406726945549063,1,1,3110,450.13,0,0,1,0,0,0,0,0,1,1,0,0,0
0,65,1,0,34.177267,-118.31003,1,1,1,22,1,1,0,1,1,1,1,0.0,0.0,0.1530923672793464,1,1,4745,521.9071428571428,0,0,0,0,0,0,0,0,1,0,0,0,0
0,80,0,0,34.187599,-118.387125,0,1,0,14,0,0,0,0,0,1,0,0.0,0.0,0.33791574279379155,1,1,2740,15.033333333333333,0,0,1,0,0,0,0,1,0,1,0,0,0
1,71,1,0,33.990646,-117.663025,1,1,0,29,0,1,0,0,0,1,1,0.0,0.0,0.09132569558101473,3,1,4795,381.875,0,0,0,0,0,0,0,0,1,1,0,0,0
0,70,0,0,34.127621,-117.717863,0,1,0,20,0,0,0,0,0,1,0,0.0,0.0,0.16213002114164907,3,1,4054,126.13333333333333,0,0,0,0,0,0,0,1,0,0,1,0,1
1,73,0,0,32.825086,-117.199424,0,1,1,6,0,0,0,0,1,1,1,0.0,0.0,0.3225013361838589,1,1,5536,23.3875,0,0,0,0,0,0,0,1,0,0,1,0,1
1,78,1,0,32.825086,-117.199424,1,1,1,19,1,1,1,0,1,1,1,0.0,0.0,0.45553143266133844,1,1,4739,898.1785714285714,1,0,0,0,0,0,0,0,1,0,1,0,1
0,76,0,0,32.825086,-117.199424,0,1,1,7,0,0,0,0,1,1,1,0.0,0.0,0.20750287005147577,2,1,5136,337.5375,0,0,0,0,0,0,0,0,1,0,1,0,0
0,73,0,0,32.825086,-117.199424,0,1,0,27,0,0,0,0,0,0,1,0.0,0.14295925661186562,0.32165832737669764,2,1,3208,34.975,0,0,0,0,0,0,0,1,0,0,1,0,0
0,68,1,0,32.85723,-117.209774,1,1,1,11,0,1,0,0,0,0,1,0.10935019507601239,0.026907036189963675,0.6360823355307413,1,1,4287,92.9125,0,0,0,0,0,0,0,1,0,0,1,0,0
1,79,0,0,33.889605,-115.257009,0,1,0,7,0,0,1,0,1,1,1,0.005023888095355366,0.0,0.43721124956902924,1,1,4317,507.575,0,0,0,0,0,0,0,0,1,0,1,0,1
0,67,0,0,33.141265,-116.967221,0,1,0,10,1,1,0,1,1,1,1,0.0,0.0,0.29749603321233725,1,1,2833,766.7833333333333,0,0,1,0,0,0,0,0,1,0,1,0,1
0,69,1,0,33.362575,-117.299644,1,1,1,6,0,0,0,0,1,1,1,0.006100307062436029,0.0,0.3683657454793586,3,1,5247,732.75,0,0,0,0,0,0,0,0,1,0,1,0,1
0,72,0,0,34.358321,-117.618263,0,1,0,13,0,0,0,0,0,1,1,0.0,0.0,0.2579730687455705,3,1,2146,23.516666666666666,0,0,0,0,0,0,0,1,0,0,1,0,0
1,75,1,0,33.907361,-117.109972,1,1,1,28,0,0,1,0,1,0,1,0.012499375863388977,0.013314914368456967,0.24886240700364495,3,1,5137,751.0375,0,0,0,0,0,0,0,0,1,0,1,0,1
1,67,1,0,33.581045,-117.14719,1,1,1,6,0,0,0,0,1,1,1,0.03898188303003283,0.0,0.3340493657034005,1,1,2982,308.4125,0,0,0,0,0,0,0,0,1,0,0,0,1
1,72,1,0,33.82769,-117.102244,1,1,1,17,0,0,0,0,0,1,1,0.0614889183557492,0.0,0.11827997726842206,3,1,4969,131.975,0,0,1,0,0,0,0,0,1,0,1,0,0
0,68,0,0,33.703976,-117.824172,0,1,1,28,0,0,1,0,0,1,1,0.0,0.0,0.24066945606694562,1,1,3685,35.85,0,0,0,0,0,0,0,0,1,0,1,0,1
0,68,0,0,33.600987,-117.862734,0,1,0,2,0,0,0,0,1,1,1,0.0,0.0,0.47765607886089817,3,1,2371,30.433333333333334,0,0,0,0,0,0,0,0,1,0,1,0,1
1,75,1,0,33.744439,-117.98588,1,1,0,22,0,0,0,0,0,1,1,0.043268099668484654,0.0,0.2402951555983317,2,1,3669,155.85,0,0,1,0,0,0,0,0,1,0,1,0,0
1,74,1,0,33.601309,-117.902304,1,1,1,21,0,1,1,0,0,1,1,0.002319860697800831,0.0,0.5242019144839277,2,1,6259,904.5083333333333,0,0,0,0,0,0,0,0,1,0,1,0,1
